date,temperature_2m,wind_speed_10m,shortwave_radiation,cloud_cover,precipitation,relative_humidity_2m,surface_pressure
2023-12-31 00:00:00+00:00,8.608,28.623962,0.0,100.0,0.0,0.0,0.0
2023-12-31 01:00:00+00:00,8.508,28.460497,0.0,100.0,0.0,0.0,0.0
2023-12-31 02:00:00+00:00,8.958,28.082308,0.0,100.0,0.0,0.0,0.0
2023-12-31 03:00:00+00:00,9.258,29.528778,0.0,100.0,0.0,0.0,0.0
2023-12-31 04:00:00+00:00,9.408,30.960001,0.0,100.0,0.0,0.0,0.0
2023-12-31 05:00:00+00:00,9.958,31.68818,0.0,100.0,0.0,0.0,0.0
2023-12-31 06:00:00+00:00,10.408,33.2781,0.0,100.0,0.0,0.0,0.0
2023-12-31 07:00:00+00:00,9.958,34.51685,0.0,100.0,0.7,0.7,0.7
2023-12-31 08:00:00+00:00,9.358,32.35997,0.0,99.0,0.2,0.2,0.2
2023-12-31 09:00:00+00:00,8.408,33.2781,27.0,53.0,0.1,0.1,0.1
2023-12-31 10:00:00+00:00,8.408,32.978832,84.0,73.0,0.1,0.1,0.1
2023-12-31 11:00:00+00:00,8.808001,32.777794,144.0,50.0,0.1,0.1,0.1
2023-12-31 12:00:00+00:00,8.958,33.061253,212.0,98.0,0.1,0.1,0.1
2023-12-31 13:00:00+00:00,8.458,31.072817,92.0,79.0,0.0,0.0,0.0
2023-12-31 14:00:00+00:00,8.458,33.168877,138.0,100.0,0.0,0.0,0.0
2023-12-31 15:00:00+00:00,8.808001,34.51685,64.0,100.0,0.0,0.0,0.0
2023-12-31 16:00:00+00:00,8.908,34.247337,6.0,100.0,0.0,0.0,0.0
2023-12-31 17:00:00+00:00,8.558001,34.82895,0.0,99.0,0.0,0.0,0.0
2023-12-31 18:00:00+00:00,8.808001,36.48809,0.0,98.0,0.0,0.0,0.0
2023-12-31 19:00:00+00:00,8.008,35.069984,0.0,100.0,0.2,0.2,0.2
2023-12-31 20:00:00+00:00,7.7580004,35.58905,0.0,100.0,0.1,0.1,0.1
2023-12-31 21:00:00+00:00,8.308001,37.05902,0.0,100.0,0.0,0.0,0.0
2023-12-31 22:00:00+00:00,7.7580004,36.881996,0.0,100.0,0.0,0.0,0.0
2023-12-31 23:00:00+00:00,8.208,37.017033,0.0,100.0,0.0,0.0,0.0
2024-01-01 00:00:00+00:00,7.8580003,35.936943,0.0,100.0,0.0,0.0,0.0
2024-01-01 01:00:00+00:00,6.308,32.619255,0.0,100.0,0.7,0.7,0.7
2024-01-01 02:00:00+00:00,7.1080003,34.653625,0.0,96.0,0.1,0.1,0.1
2024-01-01 03:00:00+00:00,7.158,34.38895,0.0,96.0,0.0,0.0,0.0
2024-01-01 04:00:00+00:00,6.7580004,33.09651,0.0,99.0,0.0,0.0,0.0
2024-01-01 05:00:00+00:00,6.7580004,32.353966,0.0,72.0,0.0,0.0,0.0
2024-01-01 06:00:00+00:00,6.558,31.942772,0.0,50.0,0.0,0.0,0.0
2024-01-01 07:00:00+00:00,6.2580004,30.978828,0.0,44.0,0.0,0.0,0.0
2024-01-01 08:00:00+00:00,5.958,28.954834,0.0,60.0,0.0,0.0,0.0
2024-01-01 09:00:00+00:00,6.308,26.36616,43.0,90.0,0.0,0.0,0.0
2024-01-01 10:00:00+00:00,7.5080004,29.882166,126.0,100.0,0.0,0.0,0.0
2024-01-01 11:00:00+00:00,8.158,27.959743,182.0,90.0,0.0,0.0,0.0
2024-01-01 12:00:00+00:00,8.958,25.992401,236.0,100.0,0.0,0.0,0.0
2024-01-01 13:00:00+00:00,7.908,32.058197,162.0,96.0,0.1,0.1,0.1
2024-01-01 14:00:00+00:00,7.8580003,29.09103,141.0,100.0,0.0,0.0,0.0
2024-01-01 15:00:00+00:00,7.558,24.485292,53.0,100.0,0.0,0.0,0.0
2024-01-01 16:00:00+00:00,7.1080003,22.401142,8.0,100.0,0.1,0.1,0.1
2024-01-01 17:00:00+00:00,7.058,20.746122,0.0,100.0,0.2,0.2,0.2
2024-01-01 18:00:00+00:00,6.8580003,20.316889,0.0,100.0,0.1,0.1,0.1
2024-01-01 19:00:00+00:00,7.0080004,21.53089,0.0,100.0,0.0,0.0,0.0
2024-01-01 20:00:00+00:00,7.058,22.768398,0.0,100.0,0.0,0.0,0.0
2024-01-01 21:00:00+00:00,7.408,24.627787,0.0,100.0,0.1,0.1,0.1
2024-01-01 22:00:00+00:00,7.708,27.766712,0.0,100.0,0.4,0.4,0.4
2024-01-01 23:00:00+00:00,7.808,28.30983,0.0,100.0,1.7,1.7,1.7
2024-01-02 00:00:00+00:00,8.108,31.035257,0.0,100.0,2.5,2.5,2.5
2024-01-02 01:00:00+00:00,8.358,33.137604,0.0,100.0,2.2,2.2,2.2
2024-01-02 02:00:00+00:00,9.008,32.15507,0.0,100.0,2.3,2.3,2.3
2024-01-02 03:00:00+00:00,9.908,35.450405,0.0,100.0,2.7,2.7,2.7
2024-01-02 04:00:00+00:00,10.508,35.457714,0.0,100.0,0.7,0.7,0.7
2024-01-02 05:00:00+00:00,11.158,33.740276,0.0,100.0,0.4,0.4,0.4
2024-01-02 06:00:00+00:00,11.408,30.817343,0.0,100.0,0.4,0.4,0.4
2024-01-02 07:00:00+00:00,11.508,29.30409,0.0,100.0,0.5,0.5,0.5
2024-01-02 08:00:00+00:00,11.458,26.787966,0.0,100.0,0.1,0.1,0.1
2024-01-02 09:00:00+00:00,11.258,26.66188,11.0,100.0,0.4,0.4,0.4
2024-01-02 10:00:00+00:00,11.158,25.600533,16.0,100.0,1.3,1.3,1.3
2024-01-02 11:00:00+00:00,11.158,26.758923,29.0,100.0,1.4,1.4,1.4
2024-01-02 12:00:00+00:00,11.558001,33.01418,26.0,100.0,1.8,1.8,1.8
2024-01-02 13:00:00+00:00,11.408,34.025234,23.0,100.0,1.8,1.8,1.8
2024-01-02 14:00:00+00:00,11.158,34.981182,21.0,100.0,0.8,0.8,0.8
2024-01-02 15:00:00+00:00,11.158,41.0621,9.0,100.0,1.2,1.2,1.2
2024-01-02 16:00:00+00:00,11.458,37.419224,2.0,100.0,1.1,1.1,1.1
2024-01-02 17:00:00+00:00,11.808001,36.424103,0.0,93.0,0.3,0.3,0.3
2024-01-02 18:00:00+00:00,11.858,39.38505,0.0,72.0,0.1,0.1,0.1
2024-01-02 19:00:00+00:00,10.808001,38.753124,0.0,42.0,0.0,0.0,0.0
2024-01-02 20:00:00+00:00,10.158,39.8447,0.0,79.0,0.1,0.1,0.1
2024-01-02 21:00:00+00:00,9.758,40.25888,0.0,25.0,0.1,0.1,0.1
2024-01-02 22:00:00+00:00,9.458,37.045033,0.0,24.0,0.0,0.0,0.0
2024-01-02 23:00:00+00:00,9.158,35.747112,0.0,40.0,0.0,0.0,0.0
2024-01-03 00:00:00+00:00,8.958,35.452232,0.0,36.0,0.0,0.0,0.0
2024-01-03 01:00:00+00:00,9.208,32.651028,0.0,91.0,0.2,0.2,0.2
2024-01-03 02:00:00+00:00,9.408,32.112724,0.0,45.0,0.1,0.1,0.1
2024-01-03 03:00:00+00:00,8.958,29.871325,0.0,97.0,0.5,0.5,0.5
2024-01-03 04:00:00+00:00,9.058001,28.04305,0.0,100.0,0.1,0.1,0.1
2024-01-03 05:00:00+00:00,8.908,27.267473,0.0,100.0,0.5,0.5,0.5
2024-01-03 06:00:00+00:00,9.108,35.652725,0.0,95.0,1.0,1.0,1.0
2024-01-03 07:00:00+00:00,8.558001,30.248568,0.0,54.0,0.0,0.0,0.0
2024-01-03 08:00:00+00:00,8.308001,30.760519,0.0,71.0,0.0,0.0,0.0
2024-01-03 09:00:00+00:00,8.558001,30.385365,37.0,57.0,0.2,0.2,0.2
2024-01-03 10:00:00+00:00,9.208,29.05983,104.0,78.0,0.0,0.0,0.0
2024-01-03 11:00:00+00:00,9.808001,32.271744,115.0,100.0,0.0,0.0,0.0
2024-01-03 12:00:00+00:00,10.308001,28.449112,118.0,100.0,0.1,0.1,0.1
2024-01-03 13:00:00+00:00,10.208,28.528723,87.0,100.0,0.2,0.2,0.2
2024-01-03 14:00:00+00:00,10.058001,32.55363,111.0,100.0,0.6,0.6,0.6
2024-01-03 15:00:00+00:00,9.108,28.51282,59.0,100.0,0.4,0.4,0.4
2024-01-03 16:00:00+00:00,8.808001,26.089443,11.0,93.0,0.0,0.0,0.0
2024-01-03 17:00:00+00:00,8.408,27.661497,0.0,100.0,0.0,0.0,0.0
2024-01-03 18:00:00+00:00,8.808001,28.257132,0.0,92.0,0.0,0.0,0.0
2024-01-03 19:00:00+00:00,8.208,27.047956,0.0,59.0,0.1,0.1,0.1
2024-01-03 20:00:00+00:00,7.908,26.00486,0.0,100.0,1.5,1.5,1.5
2024-01-03 21:00:00+00:00,7.908,24.933735,0.0,100.0,1.0,1.0,1.0
2024-01-03 22:00:00+00:00,8.208,24.821732,0.0,98.0,0.2,0.2,0.2
2024-01-03 23:00:00+00:00,7.908,24.098497,0.0,93.0,0.0,0.0,0.0
2024-01-04 00:00:00+00:00,7.5080004,21.67487,0.0,85.0,0.1,0.1,0.1
2024-01-04 01:00:00+00:00,8.408,21.9718,0.0,100.0,0.1,0.1,0.1
2024-01-04 02:00:00+00:00,8.058,21.38897,0.0,100.0,0.4,0.4,0.4
2024-01-04 03:00:00+00:00,8.158,24.098497,0.0,100.0,0.2,0.2,0.2
2024-01-04 04:00:00+00:00,7.7580004,22.180206,0.0,100.0,0.5,0.5,0.5
2024-01-04 05:00:00+00:00,7.8580003,21.288757,0.0,43.0,0.0,0.0,0.0
2024-01-04 06:00:00+00:00,7.058,20.65848,0.0,100.0,0.0,0.0,0.0
2024-01-04 07:00:00+00:00,6.958,20.61766,0.0,43.0,0.0,0.0,0.0
2024-01-04 08:00:00+00:00,7.058,21.734581,0.0,41.0,0.0,0.0,0.0
2024-01-04 09:00:00+00:00,7.3580003,21.749483,41.0,58.0,0.0,0.0,0.0
2024-01-04 10:00:00+00:00,7.8580003,22.90743,105.0,82.0,0.0,0.0,0.0
2024-01-04 11:00:00+00:00,8.708,21.734581,199.0,96.0,0.0,0.0,0.0
2024-01-04 12:00:00+00:00,9.208,21.575987,219.0,100.0,0.0,0.0,0.0
2024-01-04 13:00:00+00:00,9.108,22.702845,191.0,100.0,0.0,0.0,0.0
2024-01-04 14:00:00+00:00,8.958,18.089775,119.0,98.0,0.0,0.0,0.0
2024-01-04 15:00:00+00:00,8.458,14.693999,77.0,100.0,0.0,0.0,0.0
2024-01-04 16:00:00+00:00,8.258,14.799459,8.0,100.0,0.4,0.4,0.4
2024-01-04 17:00:00+00:00,8.158,13.679999,0.0,100.0,0.0,0.0,0.0
2024-01-04 18:00:00+00:00,7.958,16.62249,0.0,100.0,0.0,0.0,0.0
2024-01-04 19:00:00+00:00,8.308001,18.03237,0.0,100.0,0.0,0.0,0.0
2024-01-04 20:00:00+00:00,8.458,19.083395,0.0,100.0,0.2,0.2,0.2
2024-01-04 21:00:00+00:00,8.908,22.366402,0.0,100.0,0.4,0.4,0.4
2024-01-04 22:00:00+00:00,9.508,25.455843,0.0,100.0,0.0,0.0,0.0
2024-01-04 23:00:00+00:00,9.808001,25.346148,0.0,71.0,0.0,0.0,0.0
2024-01-05 00:00:00+00:00,9.308001,23.795427,0.0,26.0,0.0,0.0,0.0
2024-01-05 01:00:00+00:00,8.808001,26.6327,0.0,88.0,0.0,0.0,0.0
2024-01-05 02:00:00+00:00,9.258,29.601109,0.0,100.0,0.0,0.0,0.0
2024-01-05 03:00:00+00:00,9.308001,32.343952,0.0,99.0,0.0,0.0,0.0
2024-01-05 04:00:00+00:00,8.658,33.75948,0.0,81.0,0.0,0.0,0.0
2024-01-05 05:00:00+00:00,8.208,35.50155,0.0,100.0,0.0,0.0,0.0
2024-01-05 06:00:00+00:00,7.6080003,36.88551,0.0,100.0,0.0,0.0,0.0
2024-01-05 07:00:00+00:00,7.208,35.362556,0.0,100.0,0.1,0.1,0.1
2024-01-05 08:00:00+00:00,6.658,31.902174,0.0,100.0,0.3,0.3,0.3
2024-01-05 09:00:00+00:00,6.458,30.0767,11.0,100.0,0.2,0.2,0.2
2024-01-05 10:00:00+00:00,6.558,29.275326,27.0,100.0,0.0,0.0,0.0
2024-01-05 11:00:00+00:00,6.6080003,30.817343,21.0,100.0,0.1,0.1,0.1
2024-01-05 12:00:00+00:00,6.958,29.88217,60.0,100.0,0.0,0.0,0.0
2024-01-05 13:00:00+00:00,6.558,30.432245,68.0,100.0,0.1,0.1,0.1
2024-01-05 14:00:00+00:00,6.808,28.174458,59.0,100.0,0.1,0.1,0.1
2024-01-05 15:00:00+00:00,6.658,28.712116,29.0,100.0,0.0,0.0,0.0
2024-01-05 16:00:00+00:00,6.458,28.357855,5.0,100.0,0.3,0.3,0.3
2024-01-05 17:00:00+00:00,6.308,25.671307,0.0,100.0,1.1,1.1,1.1
2024-01-05 18:00:00+00:00,6.2580004,23.34455,0.0,100.0,1.5,1.5,1.5
2024-01-05 19:00:00+00:00,6.308,21.068459,0.0,100.0,0.7,0.7,0.7
2024-01-05 20:00:00+00:00,6.308,19.296133,0.0,100.0,0.3,0.3,0.3
2024-01-05 21:00:00+00:00,6.5080004,15.629972,0.0,100.0,0.3,0.3,0.3
2024-01-05 22:00:00+00:00,6.708,14.986553,0.0,100.0,0.2,0.2,0.2
2024-01-05 23:00:00+00:00,6.5080004,16.78156,0.0,100.0,0.1,0.1,0.1
2024-01-06 00:00:00+00:00,6.158,16.179985,0.0,100.0,0.1,0.1,0.1
2024-01-06 01:00:00+00:00,6.1080003,15.542662,0.0,100.0,0.1,0.1,0.1
2024-01-06 02:00:00+00:00,6.2580004,14.587776,0.0,100.0,0.1,0.1,0.1
2024-01-06 03:00:00+00:00,6.458,15.315873,0.0,100.0,0.1,0.1,0.1
2024-01-06 04:00:00+00:00,6.0080004,14.512064,0.0,100.0,0.2,0.2,0.2
2024-01-06 05:00:00+00:00,5.908,9.983106,0.0,100.0,0.1,0.1,0.1
2024-01-06 06:00:00+00:00,5.658,10.315115,0.0,100.0,0.0,0.0,0.0
2024-01-06 07:00:00+00:00,5.458,10.163227,0.0,100.0,0.1,0.1,0.1
2024-01-06 08:00:00+00:00,5.2580004,11.165805,0.0,100.0,0.2,0.2,0.2
2024-01-06 09:00:00+00:00,4.958,12.287555,9.0,100.0,0.2,0.2,0.2
2024-01-06 10:00:00+00:00,4.808,12.979984,30.0,100.0,0.2,0.2,0.2
2024-01-06 11:00:00+00:00,4.558,12.0694,39.0,100.0,0.5,0.5,0.5
2024-01-06 12:00:00+00:00,4.6080003,15.646544,44.0,100.0,0.3,0.3,0.3
2024-01-06 13:00:00+00:00,4.2580004,16.418526,51.0,100.0,0.1,0.1,0.1
2024-01-06 14:00:00+00:00,4.3580003,17.026896,41.0,100.0,0.0,0.0,0.0
2024-01-06 15:00:00+00:00,4.408,15.281989,25.0,100.0,0.0,0.0,0.0
2024-01-06 16:00:00+00:00,4.2580004,14.917212,5.0,100.0,0.0,0.0,0.0
2024-01-06 17:00:00+00:00,4.058,15.905319,0.0,100.0,0.0,0.0,0.0
2024-01-06 18:00:00+00:00,3.908,15.158522,0.0,100.0,0.0,0.0,0.0
2024-01-06 19:00:00+00:00,3.858,15.137133,0.0,100.0,0.0,0.0,0.0
2024-01-06 20:00:00+00:00,3.758,15.119999,0.0,99.0,0.0,0.0,0.0
2024-01-06 21:00:00+00:00,3.108,14.471821,0.0,49.0,0.0,0.0,0.0
2024-01-06 22:00:00+00:00,2.358,11.928989,0.0,100.0,0.0,0.0,0.0
2024-01-06 23:00:00+00:00,2.8079998,11.542478,0.0,100.0,0.0,0.0,0.0
2024-01-07 00:00:00+00:00,2.958,12.24,0.0,100.0,0.0,0.0,0.0
2024-01-07 01:00:00+00:00,2.3079998,11.901798,0.0,100.0,0.0,0.0,0.0
2024-01-07 02:00:00+00:00,2.108,14.471821,0.0,100.0,0.0,0.0,0.0
2024-01-07 03:00:00+00:00,1.608,15.192682,0.0,100.0,0.0,0.0,0.0
2024-01-07 04:00:00+00:00,1.5079999,15.463246,0.0,100.0,0.0,0.0,0.0
2024-01-07 05:00:00+00:00,1.5079999,15.2947035,0.0,100.0,0.0,0.0,0.0
2024-01-07 06:00:00+00:00,1.358,15.315873,0.0,100.0,0.0,0.0,0.0
2024-01-07 07:00:00+00:00,1.158,15.646544,0.0,100.0,0.0,0.0,0.0
2024-01-07 08:00:00+00:00,1.108,15.978484,0.0,100.0,0.0,0.0,0.0
2024-01-07 09:00:00+00:00,1.208,16.595179,13.0,100.0,0.0,0.0,0.0
2024-01-07 10:00:00+00:00,1.358,18.218275,37.0,100.0,0.0,0.0,0.0
2024-01-07 11:00:00+00:00,1.358,17.414474,46.0,100.0,0.0,0.0,0.0
2024-01-07 12:00:00+00:00,1.3080001,18.089775,48.0,100.0,0.0,0.0,0.0
2024-01-07 13:00:00+00:00,0.808,17.786331,50.0,100.0,0.0,0.0,0.0
2024-01-07 14:00:00+00:00,0.708,18.581022,40.0,100.0,0.0,0.0,0.0
2024-01-07 15:00:00+00:00,0.60800004,19.8,24.0,100.0,0.0,0.0,0.0
2024-01-07 16:00:00+00:00,0.55799997,18.723461,11.0,45.0,0.0,0.0,0.0
2024-01-07 17:00:00+00:00,-0.792,20.88,0.0,72.0,0.0,0.0,0.0
2024-01-07 18:00:00+00:00,-1.392,21.38897,0.0,53.0,0.0,0.0,0.0
2024-01-07 19:00:00+00:00,-1.792,20.65848,0.0,43.0,0.0,0.0,0.0
2024-01-07 20:00:00+00:00,-1.792,20.371038,0.0,22.0,0.0,0.0,0.0
2024-01-07 21:00:00+00:00,-2.292,19.61587,0.0,1.0,0.0,0.0,0.0
2024-01-07 22:00:00+00:00,-2.892,18.289274,0.0,1.0,0.0,0.0,0.0
2024-01-07 23:00:00+00:00,-3.392,18.472595,0.0,0.0,0.0,0.0,0.0
2024-01-08 00:00:00+00:00,-3.792,18.089775,0.0,8.0,0.0,0.0,0.0
2024-01-08 01:00:00+00:00,-3.792,19.272614,0.0,12.0,0.0,0.0,0.0
2024-01-08 02:00:00+00:00,-4.2419996,20.746122,0.0,89.0,0.0,0.0,0.0
2024-01-08 03:00:00+00:00,-3.792,22.42427,0.0,98.0,0.0,0.0,0.0
2024-01-08 04:00:00+00:00,-3.742,22.91026,0.0,100.0,0.0,0.0,0.0
2024-01-08 05:00:00+00:00,-3.6920002,19.376562,0.0,81.0,0.0,0.0,0.0
2024-01-08 06:00:00+00:00,-3.392,19.8,0.0,100.0,0.0,0.0,0.0
2024-01-08 07:00:00+00:00,-2.792,18.671474,0.0,100.0,0.0,0.0,0.0
2024-01-08 08:00:00+00:00,-2.792,19.969458,0.0,82.0,0.0,0.0,0.0
2024-01-08 09:00:00+00:00,-2.1920002,18.899143,34.0,47.0,0.0,0.0,0.0
2024-01-08 10:00:00+00:00,-1.4419999,25.02971,120.0,99.0,0.0,0.0,0.0
2024-01-08 11:00:00+00:00,-1.292,25.959969,75.0,100.0,0.0,0.0,0.0
2024-01-08 12:00:00+00:00,-1.042,23.363974,83.0,100.0,0.0,0.0,0.0
2024-01-08 13:00:00+00:00,-0.99200004,24.162947,73.0,100.0,0.0,0.0,0.0
2024-01-08 14:00:00+00:00,-0.892,23.86341,78.0,100.0,0.0,0.0,0.0
2024-01-08 15:00:00+00:00,-0.99200004,20.674156,79.0,99.0,0.0,0.0,0.0
2024-01-08 16:00:00+00:00,-2.042,17.49615,21.0,97.0,0.0,0.0,0.0
2024-01-08 17:00:00+00:00,-2.542,20.608229,0.0,100.0,0.0,0.0,0.0
2024-01-08 18:00:00+00:00,-2.992,20.774214,0.0,100.0,0.0,0.0,0.0
2024-01-08 19:00:00+00:00,-3.292,21.09305,0.0,95.0,0.0,0.0,0.0
2024-01-08 20:00:00+00:00,-3.9420002,21.096123,0.0,0.0,0.0,0.0,0.0
