date,temperature_2m,wind_speed_10m,shortwave_radiation,cloud_cover,precipitation,relative_humidity_2m,surface_pressure
2025-10-29 00:00:00+00:00,11.695499,17.64,0.0,100.0,0.0,0.0,0.0
2025-10-29 01:00:00+00:00,11.2455,17.28,0.0,100.0,0.0,0.0,0.0
2025-10-29 02:00:00+00:00,11.4955,18.0,0.0,100.0,0.0,0.0,0.0
2025-10-29 03:00:00+00:00,11.445499,16.919998,0.0,100.0,0.0,0.0,0.0
2025-10-29 04:00:00+00:00,11.0955,17.28,0.0,98.0,0.0,0.0,0.0
2025-10-29 05:00:00+00:00,10.8455,15.119999,0.0,100.0,0.0,0.0,0.0
2025-10-29 06:00:00+00:00,11.3455,14.4,0.0,100.0,0.0,0.0,0.0
2025-10-29 07:00:00+00:00,11.3955,15.4800005,3.0,100.0,0.0,0.0,0.0
2025-10-29 08:00:00+00:00,11.7455,15.84,46.0,100.0,0.0,0.0,0.0
2025-10-29 09:00:00+00:00,11.9955,17.64,126.0,100.0,0.0,0.0,0.0
2025-10-29 10:00:00+00:00,12.3455,14.4,108.0,100.0,0.0,0.0,0.0
2025-10-29 11:00:00+00:00,12.945499,12.24,137.0,100.0,0.0,0.0,0.0
2025-10-29 12:00:00+00:00,13.7455,11.879999,180.0,100.0,0.0,0.0,0.0
2025-10-29 13:00:00+00:00,14.0455,10.440001,176.0,100.0,0.0,0.0,0.0
2025-10-29 14:00:00+00:00,14.2455,10.440001,119.0,100.0,0.0,0.0,0.0
2025-10-29 15:00:00+00:00,14.3455,10.08,102.0,100.0,0.0,0.0,0.0
2025-10-29 16:00:00+00:00,14.2955,10.799999,37.0,100.0,0.0,0.0,0.0
2025-10-29 17:00:00+00:00,14.1455,15.4800005,1.0,100.0,0.0,0.0,0.0
2025-10-29 18:00:00+00:00,12.945499,18.0,0.0,100.0,0.4,0.4,0.4
2025-10-29 19:00:00+00:00,12.695499,18.72,0.0,100.0,0.8,0.8,0.8
2025-10-29 20:00:00+00:00,12.5455,11.879999,0.0,100.0,1.0,1.0,1.0
2025-10-29 21:00:00+00:00,12.445499,14.759999,0.0,100.0,1.8,1.8,1.8
2025-10-29 22:00:00+00:00,12.2955,19.44,0.0,100.0,0.9,0.9,0.9
2025-10-29 23:00:00+00:00,12.0955,20.519999,0.0,100.0,0.2,0.2,0.2
2025-10-30 00:00:00+00:00,11.9955,27.0,0.0,100.0,0.1,0.1,0.1
2025-10-30 01:00:00+00:00,10.8455,22.319998,0.0,2.0,0.3,0.3,0.3
2025-10-30 02:00:00+00:00,9.945499,19.08,0.0,56.0,0.0,0.0,0.0
2025-10-30 03:00:00+00:00,8.9955,18.0,0.0,0.0,0.0,0.0,0.0
2025-10-30 04:00:00+00:00,8.2455,16.919998,0.0,0.0,0.0,0.0,0.0
2025-10-30 05:00:00+00:00,7.8954997,17.64,0.0,0.0,0.0,0.0,0.0
2025-10-30 06:00:00+00:00,7.7955,18.72,0.0,0.0,0.0,0.0,0.0
2025-10-30 07:00:00+00:00,7.6955,15.119999,7.0,0.0,0.0,0.0,0.0
2025-10-30 08:00:00+00:00,7.9954996,17.28,99.0,0.0,0.0,0.0,0.0
2025-10-30 09:00:00+00:00,9.2455,15.84,226.0,0.0,0.0,0.0,0.0
2025-10-30 10:00:00+00:00,10.6455,15.84,336.0,0.0,0.0,0.0,0.0
2025-10-30 11:00:00+00:00,11.945499,15.119999,403.0,63.0,0.0,0.0,0.0
2025-10-30 12:00:00+00:00,12.5955,15.84,412.0,100.0,0.0,0.0,0.0
2025-10-30 13:00:00+00:00,12.3455,13.32,165.0,100.0,0.0,0.0,0.0
2025-10-30 14:00:00+00:00,12.5955,10.08,149.0,100.0,0.0,0.0,0.0
2025-10-30 15:00:00+00:00,12.7455,10.799999,74.0,100.0,0.0,0.0,0.0
2025-10-30 16:00:00+00:00,12.5955,9.36,58.0,100.0,0.0,0.0,0.0
2025-10-30 17:00:00+00:00,11.8455,10.440001,2.0,100.0,0.0,0.0,0.0
2025-10-30 18:00:00+00:00,10.9955,9.36,0.0,100.0,0.0,0.0,0.0
2025-10-30 19:00:00+00:00,10.6455,10.440001,0.0,100.0,0.0,0.0,0.0
2025-10-30 20:00:00+00:00,10.6455,11.5199995,0.0,99.0,0.0,0.0,0.0
2025-10-30 21:00:00+00:00,10.445499,11.159999,0.0,100.0,0.0,0.0,0.0
