datetime_utc,date,hour,minute,price_eur_mwh
2024-05-21 22:00:00,2024-05-21,22,0,106.39
2024-05-21 22:15:00,2024-05-21,22,15,149.28
2024-05-21 22:30:00,2024-05-21,22,30,151.17
2024-05-21 22:45:00,2024-05-21,22,45,226.60
2024-05-21 23:00:00,2024-05-21,23,0,204.76
2024-05-21 23:15:00,2024-05-21,23,15,245.83
2024-05-21 23:30:00,2024-05-21,23,30,236.20
2024-05-21 23:45:00,2024-05-21,23,45,215.45
2024-05-22 00:00:00,2024-05-22,0,0,180.10
2024-05-22 00:15:00,2024-05-22,0,15,175.07
2024-05-22 00:30:00,2024-05-22,0,30,74.20
2024-05-22 00:45:00,2024-05-22,0,45,43.88
2024-05-22 01:00:00,2024-05-22,1,0,143.80
2024-05-22 01:15:00,2024-05-22,1,15,111.09
2024-05-22 01:30:00,2024-05-22,1,30,58.67
2024-05-22 01:45:00,2024-05-22,1,45,-247.16
2024-05-22 02:00:00,2024-05-22,2,0,-244.89
2024-05-22 02:15:00,2024-05-22,2,15,-409.46
2024-05-22 02:30:00,2024-05-22,2,30,-3.20
2024-05-22 02:45:00,2024-05-22,2,45,-196.29
2024-05-22 03:00:00,2024-05-22,3,0,-524.43
2024-05-22 03:15:00,2024-05-22,3,15,-508.38
2024-05-22 03:30:00,2024-05-22,3,30,-167.50
2024-05-22 03:45:00,2024-05-22,3,45,-104.04
2024-05-22 04:00:00,2024-05-22,4,0,-308.52
2024-05-22 04:15:00,2024-05-22,4,15,76.06
2024-05-22 04:30:00,2024-05-22,4,30,75.00
2024-05-22 04:45:00,2024-05-22,4,45,111.17
2024-05-22 05:00:00,2024-05-22,5,0,166.79
2024-05-22 05:15:00,2024-05-22,5,15,225.00
2024-05-22 05:30:00,2024-05-22,5,30,73.84
2024-05-22 05:45:00,2024-05-22,5,45,90.22
2024-05-22 06:00:00,2024-05-22,6,0,80.00
2024-05-22 06:15:00,2024-05-22,6,15,80.00
2024-05-22 06:30:00,2024-05-22,6,30,71.25
2024-05-22 06:45:00,2024-05-22,6,45,-31.72
2024-05-22 07:00:00,2024-05-22,7,0,173.81
2024-05-22 07:15:00,2024-05-22,7,15,71.77
2024-05-22 07:30:00,2024-05-22,7,30,71.77
2024-05-22 07:45:00,2024-05-22,7,45,-73.36
2024-05-22 08:00:00,2024-05-22,8,0,251.49
2024-05-22 08:15:00,2024-05-22,8,15,395.22
2024-05-22 08:30:00,2024-05-22,8,30,395.26
2024-05-22 08:45:00,2024-05-22,8,45,395.96
2024-05-22 09:00:00,2024-05-22,9,0,398.90
2024-05-22 09:15:00,2024-05-22,9,15,399.93
2024-05-22 09:30:00,2024-05-22,9,30,399.88
2024-05-22 09:45:00,2024-05-22,9,45,607.00
2024-05-22 10:00:00,2024-05-22,10,0,330.93
2024-05-22 10:15:00,2024-05-22,10,15,388.54
2024-05-22 10:30:00,2024-05-22,10,30,399.69
2024-05-22 10:45:00,2024-05-22,10,45,399.46
2024-05-22 11:00:00,2024-05-22,11,0,398.39
2024-05-22 11:15:00,2024-05-22,11,15,398.31
2024-05-22 11:30:00,2024-05-22,11,30,322.67
2024-05-22 11:45:00,2024-05-22,11,45,222.00
2024-05-22 12:00:00,2024-05-22,12,0,-325.36
2024-05-22 12:15:00,2024-05-22,12,15,-341.83
2024-05-22 12:30:00,2024-05-22,12,30,-163.00
2024-05-22 12:45:00,2024-05-22,12,45,89.18
2024-05-22 13:00:00,2024-05-22,13,0,144.84
2024-05-22 13:15:00,2024-05-22,13,15,338.76
2024-05-22 13:30:00,2024-05-22,13,30,395.42
2024-05-22 13:45:00,2024-05-22,13,45,397.73
2024-05-22 14:00:00,2024-05-22,14,0,346.20
2024-05-22 14:15:00,2024-05-22,14,15,-326.47
2024-05-22 14:30:00,2024-05-22,14,30,-327.70
2024-05-22 14:45:00,2024-05-22,14,45,-23.70
2024-05-22 15:00:00,2024-05-22,15,0,-290.40
2024-05-22 15:15:00,2024-05-22,15,15,89.44
2024-05-22 15:30:00,2024-05-22,15,30,-171.90
2024-05-22 15:45:00,2024-05-22,15,45,46.38
2024-05-22 16:00:00,2024-05-22,16,0,57.58
2024-05-22 16:15:00,2024-05-22,16,15,57.58
2024-05-22 16:30:00,2024-05-22,16,30,16.64
2024-05-22 16:45:00,2024-05-22,16,45,60.81
2024-05-22 17:00:00,2024-05-22,17,0,-51.43
2024-05-22 17:15:00,2024-05-22,17,15,21.51
2024-05-22 17:30:00,2024-05-22,17,30,58.89
2024-05-22 17:45:00,2024-05-22,17,45,187.45
2024-05-22 18:00:00,2024-05-22,18,0,-74.60
2024-05-22 18:15:00,2024-05-22,18,15,166.82
2024-05-22 18:30:00,2024-05-22,18,30,166.82
2024-05-22 18:45:00,2024-05-22,18,45,201.18
2024-05-22 19:00:00,2024-05-22,19,0,-29.25
2024-05-22 19:15:00,2024-05-22,19,15,69.70
2024-05-22 19:30:00,2024-05-22,19,30,145.63
2024-05-22 19:45:00,2024-05-22,19,45,147.56
2024-05-22 20:00:00,2024-05-22,20,0,117.75
2024-05-22 20:15:00,2024-05-22,20,15,-138.36
2024-05-22 20:30:00,2024-05-22,20,30,110.17
2024-05-22 20:45:00,2024-05-22,20,45,-61.35
2024-05-22 21:00:00,2024-05-22,21,0,147.98
2024-05-22 21:15:00,2024-05-22,21,15,140.69
